Latitude,SqFtTotLiving,SqFt2ndFloor,Longitude,YrBuilt,SqFtFinBasement,SqFt1stFloor
47.7731366,1780,0,-122.3516417,1952,600,1180
47.5563089,1020,0,-122.2897179,1901,0,1020
47.6871558,1610,0,-122.3985468,1947,270,1340
47.435811,3188,1477,-122.1591822,2019,0,1711
47.4760795,3490,2010,-122.1220265,2016,0,1480
47.4368264,670,0,-122.3291612,1943,0,670
47.5510146,1870,0,-122.2818177,1962,660,1210
47.6004271,1200,540,-122.3063243,2018,140,520
47.3249107,2210,0,-122.3268513,1978,570,1640
47.4412776,2180,0,-122.1519909,1964,710,1470
47.3676388,1650,0,-122.311941,1962,570,1080
47.3520806,2334,1350,-122.1380918,2018,0,984
47.6719063,2300,0,-122.1515991,1968,1140,1160
47.6715104,1260,0,-122.1561129,1963,0,1260
47.6193319,1780,550,-122.2975783,2018,0,550
47.3071042,2080,0,-122.2774829,1961,760,1320
47.7239459,1780,0,-122.2894829,1978,660,1120
47.4526778,2950,0,-122.1265266,1980,1110,1840
47.6900333,2060,900,-122.1122433,1977,0,1160
47.2818625,1780,0,-122.3520187,1964,0,1780
47.6893345,870,0,-122.3695697,1948,100,770
47.7360963,2440,0,-122.3043185,1968,1220,1220
47.3094523,2210,0,-122.2033135,1966,0,2210
47.6200599,1300,500,-122.2978668,2017,300,500
47.3304531,1540,770,-122.373229,1974,0,770
47.4978329,940,0,-122.3368385,1961,0,940
47.6639608,1430,0,-122.2749685,1954,480,950
47.6484658,1040,0,-122.359485,1912,0,1040
47.6294538,1940,950,-122.1213992,1966,0,990
47.4946,1940,0,-122.1328212,1966,0,1940
47.754947,1500,0,-122.358688,1956,400,1100
47.4435049,910,0,-122.186498,1941,0,910
47.4197191,1320,0,-122.2059456,1961,300,1020
47.3979623,1320,0,-122.5260725,1930,0,1320
47.665032,1300,500,-122.3423639,2018,300,500
47.5673751,3270,0,-122.2150736,1954,940,2330
47.4268406,1920,0,-122.3465848,1976,0,1920
47.5927869,1580,520,-122.3007702,2016,0,570
47.5783808,1670,0,-122.3970468,1953,640,1030
47.6058006,3130,0,-122.2992259,1926,1100,1230
47.3366163,1880,0,-122.1060204,1973,0,1880
47.6499592,1970,0,-122.3945724,1937,300,1670
47.5196799,1360,0,-122.385279,1956,0,1360
47.7279146,2560,0,-122.177247,1968,1060,1500
47.7770125,3780,1620,-122.3921925,1980,1020,1140
47.6819082,1530,0,-122.2708897,1944,0,980
47.4120113,1610,0,-122.1903158,1963,0,1610
47.4780093,1540,0,-122.2123138,1925,0,1040
47.5933365,3960,0,-122.2069737,1962,1960,2000
47.5502415,3070,0,-122.2637542,1959,1380,1690
47.6574291,1160,390,-122.3484712,2018,380,390
47.3425958,1190,0,-122.2835606,1967,0,1190
47.6107316,1780,0,-122.3034118,1977,540,1240
47.4561543,1400,0,-122.3567384,1955,0,1400
47.7718817,2100,0,-122.3793186,1955,850,1250
47.5100455,1710,0,-122.2520545,1958,500,1210
47.7179027,1450,0,-122.308559,1952,0,1350
47.3122497,1180,0,-122.2105204,1947,0,1180
47.4701718,1730,0,-122.3648117,1914,0,1060
47.7147869,1550,0,-122.2154419,2017,0,1040
47.3322801,1060,0,-122.360299,1963,0,1060
47.495735,1880,1170,-122.298419,2018,0,710
47.497873,2320,1210,-122.157512,2019,0,1110
47.5240235,1680,0,-122.351353,1948,0,1680
47.716066,1400,530,-122.3550962,2018,350,520
47.4899525,1550,0,-122.2571654,1910,0,850
47.6586241,2060,780,-122.2749995,1942,420,860
47.5484178,1900,950,-122.1760462,1965,0,950
47.5759343,1430,0,-122.3923051,1975,430,1000
47.431206,2822,1242,-122.1782071,2019,387,1193
47.7640499,1200,0,-122.2944859,1984,0,1200
47.495219,2470,1180,-122.2979642,2018,170,1120
47.6056406,1700,880,-122.1274155,1958,0,820
47.5653185,1550,520,-122.3683783,2016,510,520
47.390413,1390,0,-122.2018681,1966,0,1390
47.5065634,980,0,-122.3594003,1947,0,980
47.7073123,2040,680,-122.3511449,1932,160,1200
47.2947652,2210,0,-122.1370948,1978,0,2210
47.2961748,1940,0,-122.1618936,1978,680,1260
47.5673016,2350,0,-122.1493676,1969,730,1620
47.554187,2460,680,-122.1832616,1960,200,1580
47.777244,1320,0,-122.3001416,1954,0,1320
47.6788294,1390,430,-122.3763638,2019,100,430
47.7402894,1950,840,-122.1300233,1977,0,1110
47.5957991,1580,590,-122.2985243,2017,400,590
47.3845545,780,0,-122.3246469,1941,0,780
47.4494426,1988,0,-122.1706875,1959,0,1988
47.6901962,950,0,-122.1645378,1950,0,950
47.6084314,980,330,-122.2963965,2018,320,330
47.5588561,1540,520,-122.3632237,2016,0,520
47.5324489,1800,0,-122.3867822,1926,100,1160
47.7295314,2790,0,-122.1211183,1981,0,2790
47.4358173,3188,1477,-122.1591821,2019,0,1711
47.7220878,1310,0,-122.2039146,1962,0,1310
