SalePrice,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,YrBuilt,Longitude,Latitude
400000,1590,0,0,0,3180,1590,1590,0,600,1,50,0,220,0,6,0,2,1,1965,-122.1963986,47.3361183
474250,1390,0,0,0,2200,810,810,0,0,1,0,0,340,0,4,1,0,1,1945,-122.3619131,47.5098741
667950,1010,0,1515,0,2525,0,0,0,400,0,167,0,0,0,4,1,0,2,2019,-122.1566841,47.4375567
659000,660,0,540,0,1820,620,620,0,0,1,0,0,100,0,3,1,0,2,2016,-122.3702516,47.5651462
656500,2310,0,0,0,2310,0,0,0,440,0,40,0,320,0,3,0,0,2,1967,-122.1841944,47.7303893
675000,1330,0,0,0,1970,1310,640,530,0,1,0,0,150,0,4,1,1,1,1965,-122.1157359,47.6288292
415000,1420,0,0,0,1750,1370,330,530,0,1,0,0,390,0,3,0,1,1,1960,-122.251946,47.7716141
160000,1020,410,0,0,1430,1020,0,0,0,0,190,0,0,0,4,0,0,1,1922,-122.2861955,47.4897861
299000,1120,0,0,0,1120,390,0,0,0,0,0,0,0,0,2,0,0,1,1944,-122.281837,47.4666141
1210000,770,0,770,0,1540,340,0,0,0,0,110,0,0,0,3,0,1,1,1900,-122.307618,47.6250753
705000,1060,490,0,0,1550,520,0,0,0,0,0,0,0,0,2,0,0,1,1921,-122.3582545,47.6776218
337950,1730,0,0,0,1730,0,0,0,460,0,0,0,0,0,4,0,0,2,1967,-122.193943,47.2862944
360000,1450,0,0,0,1450,0,0,0,0,0,0,0,0,0,3,0,1,1,1954,-122.3593023,47.7621314
740000,1010,0,1100,0,2110,900,0,0,0,1,90,0,0,0,6,0,1,1,1903,-122.2997481,47.6029458
584700,850,0,1340,0,2190,0,0,0,360,0,160,0,0,0,4,1,0,2,2018,-122.2974114,47.4948363
1000000,1280,0,0,0,2220,1280,940,0,0,1,0,0,0,0,4,0,0,2,1952,-122.2836688,47.7476982
1374990,1110,720,1150,0,4130,1150,1150,0,0,0,50,0,190,0,4,1,1,2,2016,-122.2920511,47.6770114
535000,1090,0,0,0,1090,1090,0,0,0,1,0,130,0,0,3,0,0,1,1910,-122.3381033,47.6891329
451050,1820,0,0,0,1820,0,0,0,0,0,0,0,230,0,3,0,1,1,1953,-122.3427982,47.7629109
650000,980,480,0,0,1460,980,0,300,0,0,0,0,0,0,4,0,0,2,1927,-122.3103736,47.68933
642000,1420,0,0,0,2190,1420,770,520,0,1,0,0,220,0,3,1,1,1,1963,-122.2265095,47.7201882
650000,1380,0,1120,0,2500,0,0,0,420,0,50,0,220,0,5,0,1,2,2016,-122.3690812,47.5076596
850000,1130,0,0,0,1380,1130,250,240,0,0,0,0,0,100,2,0,1,1,1948,-122.2729987,47.6671459
469950,770,0,0,0,1410,770,640,130,280,1,0,0,470,0,3,0,1,1,1971,-122.1766422,47.7222751
634000,500,0,480,0,1450,470,470,0,0,1,30,0,400,0,3,0,1,1,2018,-122.3467322,47.6978175
650000,360,0,360,0,1080,360,360,0,0,1,0,0,0,0,3,0,1,1,2019,-122.2961829,47.6130839
649950,430,0,430,0,1290,690,430,260,0,1,10,0,320,0,3,0,1,1,2018,-122.3764414,47.6841538
220000,730,0,0,0,730,0,0,0,0,0,0,0,140,0,1,0,0,1,1918,-122.3853921,47.5391529
625000,770,0,0,0,1170,730,400,0,0,0,0,0,260,0,3,0,0,1,1928,-122.3214806,47.6933319
250000,1320,0,0,0,1320,0,0,0,340,0,0,0,0,0,3,0,0,1,1944,-122.3289166,47.4435798
430000,1710,0,0,0,1710,0,0,0,540,0,220,0,0,0,4,1,1,1,1969,-122.1579475,47.4824913
630950,1025,0,1462,0,2487,0,0,0,400,0,45,0,0,0,4,0,1,2,2018,-122.1555014,47.4367421
650000,1660,0,0,0,2630,1660,970,0,0,1,300,0,150,0,4,0,2,1,1957,-122.3403618,47.4443773
515000,1010,0,740,0,2550,900,800,0,0,1,0,0,520,0,3,0,1,2,1980,-122.512997,47.346533
1699990,1500,0,1810,0,3310,0,0,0,460,0,240,0,130,0,5,1,0,4,2019,-122.1619362,47.6993824
1022000,1860,0,0,0,2410,1130,550,570,0,1,460,0,0,0,4,1,1,1,1963,-122.2332381,47.5758207
225000,840,0,0,0,840,0,0,0,0,0,0,0,0,0,2,0,0,1,1948,-122.205365,47.4894952
950000,1650,0,0,0,2470,1650,820,530,0,1,200,0,0,0,4,0,0,3,1973,-122.3266659,47.6913957
250000,960,0,0,0,960,0,0,0,0,0,0,0,150,0,2,0,0,1,1949,-122.3330341,47.5128402
1050000,1450,0,880,0,2330,0,0,0,0,0,0,0,470,0,4,1,1,2,1943,-122.2929268,47.6851313
552000,1180,0,0,0,1750,1140,570,440,0,1,0,0,230,0,4,0,1,2,1963,-122.354039,47.7306887
755000,1230,0,720,0,1950,500,0,0,0,0,0,0,0,0,4,0,1,1,1925,-122.3911488,47.6893316
866150,1320,0,1580,0,2900,0,0,0,480,0,80,0,0,0,4,1,0,2,2017,-122.1712622,47.5336008
650000,1480,0,1360,0,2840,1580,0,500,0,0,180,0,0,0,5,0,0,4,2018,-122.1525792,47.4982517
506000,1430,0,0,0,1430,0,0,0,460,0,0,0,0,0,4,1,0,1,1965,-122.3428543,47.7667582
700000,920,0,0,0,1840,920,920,0,0,1,0,0,330,65,3,1,0,1,1924,-122.3893593,47.6989471
594000,1390,0,0,0,1840,740,450,290,190,1,0,0,590,0,3,1,1,1,1975,-122.1984112,47.7338013
358000,1110,0,0,0,1110,0,0,0,0,0,80,0,0,0,2,0,0,1,1947,-122.3628991,47.5197778
1699950,1860,0,2150,0,4010,0,0,0,760,0,210,0,0,0,5,1,0,3,2016,-122.1065164,47.6238001
980000,2380,0,0,0,2820,900,440,460,0,1,70,0,0,0,4,1,1,1,1963,-122.1166051,47.5862643
664000,700,0,670,0,1370,350,0,0,0,0,110,0,0,0,3,0,0,1,1915,-122.3252095,47.6705113
1005000,1320,0,950,0,3330,1180,1060,0,0,1,290,0,0,0,4,1,0,2,1994,-122.3685489,47.4482425
660000,950,0,0,0,1650,950,700,240,0,0,50,0,0,100,3,0,1,1,1956,-122.377741,47.694424
885000,1410,0,0,0,2290,1180,880,300,200,1,60,0,130,0,4,0,2,1,1975,-122.1458386,47.6717395
1280000,1010,0,980,0,2260,690,270,420,0,0,300,150,80,0,3,0,0,3,2008,-122.381736,47.521391
225000,1140,0,0,0,2280,1140,1140,0,0,1,0,0,100,0,7,1,0,2,1961,-122.2067791,47.3144022
291000,1650,0,0,0,1650,0,0,0,0,0,70,0,0,0,2,1,0,1,1961,-122.276649,47.4331382
325000,900,0,0,0,900,0,0,0,200,0,40,0,0,0,2,0,0,1,1941,-122.3056896,47.5581646
1710000,1490,0,0,0,2740,1490,1250,0,0,1,0,0,240,80,4,0,0,2,1952,-122.2733332,47.6790411
595413,790,0,0,0,790,550,0,0,0,0,0,150,0,0,2,0,0,1,1908,-122.3278393,47.6680937
660000,420,0,420,0,1090,250,250,0,0,1,210,60,470,0,2,0,1,1,2018,-122.3658431,47.5660746
899995,1560,0,1730,0,3290,0,0,0,670,0,60,0,0,0,4,0,1,2,2019,-122.1265629,47.471735
457000,1740,0,0,0,1740,0,0,0,380,0,240,0,0,0,3,0,0,1,1962,-122.2907027,47.4004705
657915,1090,0,1110,0,2740,1010,540,470,0,1,190,0,0,0,4,1,1,2,2016,-122.1450125,47.4971406
778000,1300,0,0,0,2600,1300,1300,0,0,1,190,210,0,0,5,0,1,1,1958,-122.2716904,47.5493274
550000,1130,0,0,0,1330,870,200,0,0,0,0,0,0,0,3,0,0,1,1925,-122.2938538,47.5801612
630000,1500,0,0,0,1650,1010,150,0,0,0,0,0,170,0,3,0,0,1,1914,-122.3909523,47.5816263
620000,1400,0,0,0,2160,990,760,0,0,1,0,0,210,0,4,1,0,2,1930,-122.3892173,47.5131777
514950,1053,0,1320,0,2373,0,0,0,379,0,112,0,0,0,4,0,1,2,2018,-122.2143407,47.3806733
410000,1380,0,540,0,1920,750,0,0,0,0,0,0,0,0,5,0,1,1,1946,-122.3544878,47.5437241
450000,1220,0,0,0,1220,0,0,0,440,0,50,0,260,0,3,1,0,1,1969,-122.1974018,47.5155054
824950,1380,0,1780,0,3160,0,0,0,430,0,200,0,0,0,5,0,1,2,2019,-122.1747051,47.4972573
874000,1100,570,0,0,1910,1100,240,220,0,0,0,0,0,0,4,1,0,2,1941,-122.2920455,47.6790363
650000,1150,0,0,0,1630,1150,480,640,0,0,0,0,0,0,3,0,0,2,1971,-122.3097107,47.3032916
1000000,1390,1340,0,0,2730,960,0,0,570,1,60,0,120,40,4,1,0,2,1968,-122.4152482,47.643673
1380000,980,0,900,0,2860,980,980,0,0,0,70,0,200,0,5,0,2,2,1905,-122.3090024,47.6275081
824950,690,0,690,0,1840,650,460,190,0,0,0,0,590,0,3,1,1,2,2015,-122.391961,47.6740775
554950,1561,0,1431,0,2992,0,0,0,489,0,36,0,0,0,4,0,0,3,2018,-122.13679,47.352219
728000,1250,0,0,0,1250,0,0,0,0,0,50,0,0,0,3,0,0,1,1959,-122.1314441,47.6026283
607000,810,310,0,0,1120,780,0,0,0,0,0,50,100,0,4,1,0,1,1944,-122.3811452,47.5274842
645000,1120,0,0,0,2240,1120,1120,0,0,0,0,0,200,0,3,0,1,1,1959,-122.2162919,47.7572559
345000,1270,0,0,0,1270,0,0,0,480,0,0,0,0,10,3,1,0,1,1969,-122.1463919,47.3681301
585000,840,0,0,0,940,840,100,0,0,0,0,0,0,0,2,0,0,1,1950,-122.2958829,47.7118524
824000,500,0,510,510,1520,0,0,0,0,0,0,40,460,0,3,1,1,1,2016,-122.3111703,47.6120554
680000,1010,0,0,0,2020,1010,1010,0,240,0,0,0,110,0,4,0,0,2,1962,-122.1945766,47.7166996
325000,1400,0,0,0,1400,0,0,0,400,0,0,0,0,0,4,0,1,1,1977,-122.1834704,47.3745131
541000,1210,0,0,0,1210,0,0,0,670,0,40,0,0,0,3,1,0,1,1956,-122.3582534,47.4619944
650000,880,0,0,0,880,880,0,160,0,0,0,0,0,0,2,0,0,1,1929,-122.369612,47.6890641
460000,500,0,0,0,920,530,420,0,0,1,0,0,50,0,2,0,1,0,1915,-122.3943736,47.5494039
370000,1020,0,0,0,1480,880,460,420,0,1,0,0,140,0,3,1,0,1,1976,-122.1689693,47.3889354
375400,1490,0,0,0,1490,0,0,0,0,0,0,0,160,70,3,0,0,1,1963,-122.1510216,47.4220254
749000,1310,0,0,0,2080,1270,770,430,0,1,0,0,220,0,4,0,2,1,1966,-122.2962255,47.6949839
432000,640,0,1040,0,2220,540,540,0,420,0,90,0,60,0,5,1,1,3,2015,-122.3373461,47.491949
650000,1030,0,0,0,1290,970,260,0,0,0,50,0,150,0,4,0,0,1,1923,-122.3510254,47.6780209
550000,1190,0,0,0,1190,0,0,0,580,0,0,0,200,0,3,1,0,1,1973,-122.1328798,47.6614123
710000,600,0,500,0,1660,560,560,0,0,1,30,0,160,0,2,1,2,1,2017,-122.2970306,47.6018483
699000,1050,0,0,0,1050,1050,0,0,0,0,0,0,0,0,2,0,0,1,1937,-122.3933377,47.6855197
875000,1060,0,1140,0,3260,1060,1060,0,0,1,0,0,250,0,4,1,0,3,1981,-122.1253883,47.5444616
578900,950,0,1350,0,2300,0,0,0,290,0,90,0,100,0,3,1,1,1,2019,-122.349295,47.516317
329950,1200,0,0,0,1200,0,0,0,310,0,0,0,0,0,3,0,0,1,1958,-122.3060338,47.3780208
400000,1800,0,0,0,3240,1800,1440,0,500,1,230,0,180,0,4,1,1,1,1964,-122.3692482,47.3220232
495000,610,0,610,0,1560,550,340,210,0,0,0,0,50,0,3,1,0,2,2007,-122.3607657,47.5256617
549000,410,0,410,410,1230,0,0,0,0,0,0,50,360,0,3,0,0,2,2018,-122.381915,47.556957
1350000,1590,0,0,0,2800,1590,1210,380,0,1,0,0,150,100,4,0,1,1,1951,-122.2726567,47.6804956
719950,511,511,511,511,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,-122.3771005,47.6862543
560000,440,0,460,460,1360,0,0,0,0,0,0,50,240,0,3,0,1,1,2018,-122.3661482,47.565486
974950,660,0,590,0,1810,560,560,0,0,1,130,0,510,0,4,1,1,1,2019,-122.3616034,47.6571648
280000,1840,0,0,0,1840,0,0,0,460,0,0,0,0,0,4,1,1,1,1968,-122.1950462,47.2842059
750000,1120,0,1060,0,2180,0,0,0,480,0,0,0,240,0,4,1,1,1,1979,-122.1303292,47.5714854
715000,640,0,570,0,1780,570,570,0,0,1,20,70,420,0,3,1,1,1,2018,-122.4123258,47.577021
390000,1250,680,0,0,2690,1250,760,0,0,0,200,0,0,0,6,0,0,1,1916,-122.3574984,47.4714554
680000,800,0,800,0,1930,780,330,450,0,0,0,0,50,0,3,1,2,1,2019,-122.3022723,47.7731815
1294950,1380,0,1800,520,3700,0,0,0,420,0,70,0,110,0,5,0,2,2,2019,-122.108367,47.7028909
399500,1320,0,0,0,1320,0,0,0,0,0,0,0,0,0,3,0,0,1,1962,-122.3147419,47.7709318
940000,1560,0,1040,0,2600,0,0,0,640,0,290,0,0,0,4,1,1,1,1966,-122.0944336,47.62347
